"order","contestant","song","result"
"1","Fantasia Barrino","""Get on Your Feet""","Safe"
"2","George Huff","""Live for Loving You""","Bottom Two"
"3","LaToya London","""Rhythm Is Gonna Get You""","Safe"
"4","John Stevens","""Music of My Heart""","Eliminated"
"5","Jasmine Trias","""Here We Are""","Bottom Three"
"6","Diana DeGarmo","""Turn the Beat Around""","Safe"
