"order","contestant","song","result"
"1","LaToya London","""Ain't Nobody"" (Chaka Khan)","Safe"
"2","Amy Adams","""You Make Me Feel Brand New"" (The Stylistics)","Bottom Three"
"3","Matthew Rogers","""Hard to Handle"" (Otis Redding)","Safe"
"4","Camile Velasco","""Son of a Preacher Man"" (Dusty Springfield)","Safe"
"5","Jon Peter Lewis","""Drift Away"" (John Henry Kurtz)","Safe"
"6","Fantasia Barrino","""Signed, Sealed, Delivered I'm Yours"" (Stevie Wonder)","Safe"
"7","George Huff","""(Sittin' On) The Dock of the Bay"" (Otis Redding)","Safe"
"8","Jennifer Hudson","""Baby I Love You"" (Aretha Franklin)","Bottom Two"
"9","John Stevens","""Lately"" (Stevie Wonder)","Safe"
"10","Leah LaBelle","""You Keep Me Hangin' On"" (The Supremes)","Eliminated"
"11","Jasmine Trias","""Inseparable"" (Natalie Cole)","Safe"
"12","Diana DeGarmo","""Think"" (Aretha Franklin)","Safe"
