"order","contestant","song","result"
"1","Jon Peter Lewis","""A Little Less Conversation"" (Elvis Presley)","Advanced (Public Vote)"
"2","Elizabeth LeTendre","""The First Time Ever I Saw Your Face"" (Peggy Seeger)","Eliminated"
"3","Katie Webber","""So Emotional"" (Whitney Houston)","Eliminated"
"4","George Huff","""Lean on Me"" (Bill Withers)","Advanced (Simon's Choice)"
"5","Suzy Vulaca","""I Will Survive"" (Gloria Gaynor)","Eliminated"
"6","Matthew Metzger","""When I See You Smile"" (Bad English)","Eliminated"
"7","Leah LaBelle","""Let's Stay Together"" (Al Green)","Advanced (Paula's Choice)"
"8","Jennifer Hudson","""I Believe in You and Me"" (Four Tops)","Advanced (Randy's Choice)"
