"order","contestant","song","result"
"1","Fantasia Barrino","""Something About the Way You Look Tonight""","Safe"
"2","Jon Peter Lewis","""Rocket Man""","Safe"
"3","Jasmine Trias","""Don't Let the Sun Go Down on Me""","Bottom Two"
"4","John Stevens","""Crocodile Rock""","Safe"
"5","Camile Velasco","""Goodbye Yellow Brick Road""","Eliminated"
"6","George Huff","""Take Me to the Pilot""","Safe"
"7","Diana DeGarmo","""I'm Still Standing""","Bottom Three"
"8","LaToya London","""Someone Saved My Life Tonight""","Safe"
"9","Jennifer Hudson","""Circle of Life""","Safe"
