"order","contestant","song","result"
"1","Elizabeth LeTendre","""I Wanna Dance with Somebody (Who Loves Me)"" (Whitney Houston)","Wild Card"
"2","Eric Yoder","""In the Still of the Night"" (The Five Satins)","Eliminated"
"3","Amy Adams","""The Power of Love"" (Jennifer Rush)","Advanced"
"4","Jon Peter Lewis","""Tiny Dancer"" (Elton John)","Wild Card (Top 3)"
"5","Charly Lowry","""Chain of Fools"" (Aretha Franklin)","Eliminated"
"6","Jonah Moananu","""I Wish"" (Carl Thomas)","Eliminated"
"7","Leah LaBelle","""I Have Nothing"" (Whitney Houston)","Wild Card"
"8","LaToya London","""All By Myself"" (Eric Carmen)","Advanced"
