"order","contestant","song","song_theme","result"
"1","La'Porsha Renae","""Wanted Dead or Alive""","Classical.rock.song","Bottom 2"
"2","MacKenzie Bourg","""I Want You to Want Me""","Classical.rock.song","Eliminated"
"3","Trent Harmon","""Sharp Dressed Man""","Classical.rock.song","Safe"
"4","Dalton Rapattoni","""God Only Knows""","Classical.rock.song","Safe"
"5","La'Porsha Renae","""Elastic Heart""","Sia.s.song","Bottom 2"
"6","MacKenzie Bourg","""Titanium""","Sia.s.song","Eliminated"
"7","Trent Harmon","""Chandelier""","Sia.s.song","Safe"
"8","Dalton Rapattoni","""Bird Set Free""","Sia.s.song","Safe"
