"order","contestant","song","song_theme","result"
"1","Trent Harmon","""Counting Stars""","Twitter.s.choice","Safe"
"10","La'Porsha Renae","""No More Drama""","Contestant.s.choice","Safe"
"2","Dalton Rapattoni","""Numb""","Twitter.s.choice","Bottom 2"
"3","La'Porsha Renae","""Ready for Love""","Twitter.s.choice","Safe"
"4","MacKenzie Bourg","""Wild World""","Twitter.s.choice","Safe"
"5","Sonika Vaid","""Let It Go""","Twitter.s.choice","Eliminated"
"6","Dalton Rapattoni","""The Sound of Silence""","Contestant.s.choice","Bottom 2"
"7","MacKenzie Bourg","""Billie Jean""","Contestant.s.choice","Safe"
"8","Trent Harmon","""Simple Man""","Contestant.s.choice","Safe"
"9","Sonika Vaid","""Clarity""","Contestant.s.choice","Eliminated"
