"order","contestant","song","song_theme","result"
"1","La'Porsha Renae","""See You Again"" (with Trent Harmon)","Duet.Song","Safe"
"1","Trent Harmon","""See You Again"" (with La'Porsha Renae)","Duet.Song","Safe"
"10","Sonika Vaid","""I Have Nothing""","Solo.Song","Bottom 2"
"2","Sonika Vaid","""Rise Up"" (with Avalon Young)","Duet.Song","Bottom 2"
"3","MacKenzie Bourg","""I Want It That Way"" (with Dalton Rapattoni)","Duet.Song","Safe"
"3","Dalton Rapattoni","""I Want It That Way"" (with MacKenzie Bourg)","Duet.Song","Safe"
"4","Tristan McIntosh","""I Don't Wanna Miss a Thing"" (with Lee Jean)","Duet.Song","Eliminated"
"5","La'Porsha Renae","""Come Together""","Solo.Song","Safe"
"6","MacKenzie Bourg","""You Are So Beautiful""","Solo.Song","Safe"
"7","Trent Harmon","""Stand By Me""","Solo.Song","Safe"
"8","Tristan McIntosh","""A Broken Wing""","Solo.Song","Eliminated"
"9","Dalton Rapattoni","""Eleanor Rigby""","Solo.Song","Safe"
