"order","contestant","song","result"
"1","Dalton Rapattoni","""Radioactive""","Safe"
"2","Lee Jean","""Use Somebody""","Eliminated"
"3","Sonika Vaid","""Since U Been Gone""","Bottom 3"
"4","MacKenzie Bourg","""I Wanna Dance with Somebody (Who Loves Me)""","Safe"
"5","La'Porsha Renae","""Halo""","Safe"
"6","Trent Harmon","""When a Man Loves a Woman""","Safe"
"7","Tristan McIntosh","""Go Rest High on That Mountain""","Safe"
"8","Avalon Young","""Earned It""","Eliminated"
