"order","contestant","song","song_theme","result"
"1","Dalton Rapattoni","""Calling You""","Hometown.Dedication","Third place"
"2","Trent Harmon","""Tennessee Whiskey""","Hometown.Dedication","Safe"
"3","La'Porsha Renae","""Glory""","Hometown.Dedication","Safe"
"4","Dalton Rapattoni","""Dancing in the Dark""","Scott.Borchetta.s.Choice","Third place"
"5","La'Porsha Renae","""Stay with Me""","Scott.Borchetta.s.Choice","Safe"
"6","Trent Harmon","""Drink You Away""","Scott.Borchetta.s.Choice","Safe"
"7","Dalton Rapattoni","""Everybody Wants to Rule the World""","Judges..Choice","Third place"
"8","La'Porsha Renae","""Hello""","Judges..Choice","Safe"
"9","Trent Harmon","""Waiting Game""","Judges..Choice","Safe"
