"contestant","duet_partner","result","order","song_theme","song"
"Stephany Negrete","Ruben Studdard","Eliminated","1","song","""Mamma Knows Best"""
"Stephany Negrete","Ruben Studdard","Eliminated","15","song_2","""Superstar"""
"MacKenzie Bourg","Lauren Alaina","Wild Card","2","song","""Say Something"""
"MacKenzie Bourg","Lauren Alaina","Wild Card","19","song_2","""I Hope You Dance"""
"Jeneve Rose Mitchell","Scotty McCreery","Wild Card","3","song","""Angel"""
"Jeneve Rose Mitchell","Scotty McCreery","Wild Card","23","song_2","""Gone"""
"Jenna Renae","Scotty McCreery","Eliminated","4","song","""My Church"""
"Jenna Renae","Scotty McCreery","Eliminated","17","song_2","""See You Tonight"""
"James VIII","Caleb Johnson","Eliminated","5","song","""Love Lockdown"""
"James VIII","Caleb Johnson","Eliminated","22","song_2","""Gimme Shelter"""
"Sonika Vaid","Caleb Johnson","Wild Card","6","song","""Safe & Sound"""
"Sonika Vaid","Caleb Johnson","Wild Card","16","song_2","""Skyfall"""
"Gianna Isabella","Nick Fradiani","Wild Card","7","song","""I Put a Spell on You"""
"Gianna Isabella","Nick Fradiani","Wild Card","20","song_2","""Beautiful Life"""
"Emily Brooke","Lauren Alaina","Eliminated","8","song","""I Am Invincible"""
"Emily Brooke","Lauren Alaina","Eliminated","13","song_2","""Flat on the Floor"""
"Avalon Young","Ruben Studdard","Wild Card","9","song","""Love Yourself"""
"Avalon Young","Ruben Studdard","Wild Card","21","song_2","""Flying Without Wings"""
"Jordan Sasser","Fantasia","Eliminated","10","song","""All by Myself"""
"Jordan Sasser","Fantasia","Eliminated","24","song_2","""I Believe"""
"Thomas Stringfellow","Nick Fradiani","Wild Card","11","song","""Creep"""
"Thomas Stringfellow","Nick Fradiani","Wild Card","14","song_2","""Man in the Mirror"""
"La'Porsha Renae","Fantasia","Advanced","12","song","""Proud Mary"""
"La'Porsha Renae","Fantasia","Advanced","18","song_2","""Summertime"""
