"order","contestant","song","result"
"Manny Torres","1","""Master Blaster (Jammin')""","Eliminated"
"Gianna Isabella","2","""I Put a Spell on You""","Advanced"
"Thomas Stringfellow","3","""Story of My Life""","Eliminated"
"Tristan McIntosh","4","""What Hurts the Most""","Advanced"
"Avalon Young","5","""Yo (Excuse Me Miss)""","Advanced"
"Jenn Blosil","6","""True Colors""","Eliminated"
"Lee Jean","7","""Make It Rain""","Advanced"
"Sonika Vaid","8","""I Surrender""","Advanced"
"Jeneve Rose Mitchell","9","""Ring of Fire""","Eliminated"
"MacKenzie Bourg","10","""Roses""","Advanced"
