"order","contestant","song","result"
"1","Jesse Langseth","""Tell Me Something Good""","Eliminated"
"2","Matt Giraud","""Who's Lovin' You""","Advanced"
"3","Megan Joy","""Black Horse and the Cherry Tree""","Advanced"
"4","Von Smith","""Sorry Seems to Be the Hardest Word""","Eliminated"
"5","Jasmine Murray","""Reflection""","Advanced"
"6","Ricky Braddy","""Superstition""","Eliminated"
"7","Tatiana Del Toro","""Saving All My Love for You""","Eliminated"
"8","Anoop Desai","""My Prerogative""","Advanced"
