"order","contestant","song","year","result"
"1","Danny Gokey","""Stand By Me""","1980","Safe"
"2","Kris Allen","""All She Wants to Do Is Dance""","1985","Safe"
"3","Lil Rounds","""What's Love Got to Do with It""","1984","Bottom three"
"4","Anoop Desai","""True Colors""","1986","Bottom two"
"5","Scott MacIntyre","""The Search Is Over""","1985","Eliminated"
"6","Allison Iraheta","""I Can't Make You Love Me""","1991","Safe"
"7","Matt Giraud","""Part-Time Lover""","1985","Safe"
"8","Adam Lambert","""Mad World""","1982","Safe"
