"order","contestant","song","song_theme","result"
"1","Adam Lambert","""Mad World""","Contestant.s.choice","Runner up"
"2","Kris Allen","""Ain't No Sunshine""","Contestant.s.choice","Winner"
"3","Adam Lambert","""A Change is Gonna Come""","Mentor.s.choice","Runner up"
"4","Kris Allen","""What's Going On""","Mentor.s.choice","Winner"
"5","Adam Lambert","""No Boundaries""","Winner.s.single","Runner up"
"6","Kris Allen","""No Boundaries""","Winner.s.single","Winner"
