"order","contestant","song","result"
"1","Lil Rounds","""The Way You Make Me Feel""","Safe"
"2","Scott MacIntyre","""Keep the Faith""","Safe"
"3","Danny Gokey","""P.Y.T. (Pretty Young Thing)""","Safe"
"4","Michael Sarver","""You Are Not Alone""","Safe"
"5","Jasmine Murray","""I'll Be There""","Eliminated"
"6","Kris Allen","""Remember the Time""","Safe"
"7","Allison Iraheta","""Give In to Me""","Safe"
"8","Anoop Desai","""Beat It""","Safe"
"9","Jorge Núñez","""Never Can Say Goodbye""","Eliminated"
"10","Megan Joy","""Rockin' Robin""","Safe"
"11","Adam Lambert","""Black or White""","Safe"
"12","Matt Giraud","""Human Nature""","Safe"
"13","Alexis Grace","""Dirty Diana""","Safe"
