"order","contestant","song","result"
"1","Lil Rounds","""I'm Every Woman""","Eliminated"
"2","Kris Allen","""She Works Hard for the Money""","Safe"
"3","Danny Gokey","""September""","Safe"
"4","Allison Iraheta","""Hot Stuff""","Bottom three"
"5","Adam Lambert","""If I Can't Have You""","Safe"
"6","Matt Giraud","""Stayin' Alive""","Safe"
"7","Anoop Desai","""Dim All the Lights""","Eliminated"
