"order","contestant","song","result"
"1","Jackie Tohn","""A Little Less Conversation""","Eliminated"
"2","Ricky Braddy","""A Song for You""","Wild Card"
"3","Alexis Grace","""I Never Loved a Man (The Way I Love You)""","Advanced"
"4","Brent Keith","""Hicktown""","Eliminated"
"5","Stevie Wright","""You Belong with Me""","Eliminated"
"6","Anoop Desai","""Angel of Mine""","Wild Card"
"7","Casey Carlson","""Every Little Thing She Does Is Magic""","Eliminated"
"8","Michael Sarver","""I Don't Want to Be""","Advanced"
"9","Ann Marie Boskovich","""(You Make Me Feel Like) A Natural Woman""","Eliminated"
"10","Stephen Fowler","""Rock with You""","Eliminated"
"11","Tatiana Del Toro","""Saving All My Love for You""","Wild Card"
"12","Danny Gokey","""Hero""","Advanced"
