"order","contestant","song","result"
"1","Michael Sarver","""Ain't Goin' Down ('Til the Sun Comes Up)""","Bottom two"
"2","Allison Iraheta","""Blame It on Your Heart""","Bottom three"
"3","Kris Allen","""Make You Feel My Love""","Safe"
"4","Lil Rounds","""Independence Day""","Safe"
"5","Adam Lambert","""Ring of Fire""","Safe"
"6","Scott MacIntyre","""Wild Angels""","Safe"
"7","Alexis Grace","""Jolene""","Eliminated"
"8","Danny Gokey","""Jesus, Take the Wheel""","Safe"
"9","Anoop Desai","""Always on My Mind""","Safe"
"10","Megan Joy","""Walkin' After Midnight""","Safe"
"11","Matt Giraud","""So Small""","Safe"
