"order","contestant","song","song_theme","result"
"1","Jacob Lusk","""Oh No Not My Baby""","Carole.King.Song","Safe"
"2","Lauren Alaina","""Where You Lead""","Carole.King.Song","Safe"
"3","Casey Abrams","""I Feel the Earth Move""","Duet.Song","Eliminated"
"3","Haley Reinhart","""I Feel the Earth Move""","Duet.Song","Safe"
"4","Scotty McCreery","""You've Got a Friend""","Carole.King.Song","Safe"
"5","James Durbin","""Will You Love Me Tomorrow""","Carole.King.Song","Safe"
"6","Lauren Alaina","""Up on the Roof""","Duet.Song","Safe"
"6","Scotty McCreery","""Up on the Roof""","Duet.Song","Safe"
"7","Casey Abrams","""That Old Sweet Roll (Hi-De-Ho)""","Carole.King.Song","Eliminated"
"8","Haley Reinhart","""Beautiful""","Carole.King.Song","Safe"
"9","Jacob Lusk","""I'm into Something Good""","Duet.Song","Safe"
"9","James Durbin","""I'm into Something Good""","Duet.Song","Safe"
