"order","contestant","song","result"
"1","Ashthon Jones","""And I Am Telling You I'm Not Going""","Advanced"
"2","Stefano Langone","""I Need You Now""","Advanced"
"3","Kendra Chantelle","""Georgia on My Mind""","Eliminated"
"4","Jovany Barreto","""Angel""","Eliminated"
"5","Naima Adedapo","""For All We Know""","Advanced"
"6","Robbie Rosen","""Sorry Seems to Be the Hardest Word""","Eliminated"
