"order","contestant","song","result"
"1","Scotty McCreery","""Swingin'""","Safe"
"2","James Durbin","""Uprising""","Safe"
"3","Haley Reinhart","""Rolling in the Deep""","Bottom three"
"4","Jacob Lusk","""Dance with My Father""","Bottom three"
"5","Casey Abrams","""Harder to Breathe""","Safe"
"6","Stefano Langone","""Closer""","Eliminated"
"7","Lauren Alaina","""Born to Fly""","Safe"
