"order","contestant","song","result"
"1","Scotty McCreery","""Country Comfort""","Safe"
"2","Naima Adedapo","""I'm Still Standing""","Eliminated"
"3","Paul McDonald","""Rocket Man (I Think It's Going to Be a Long, Long Time)""","Bottom three"
"4","Pia Toscano","""Don't Let the Sun Go Down on Me""","Safe"
"5","Stefano Langone","""Tiny Dancer""","Safe"
"6","Lauren Alaina","""Candle in the Wind""","Safe"
"7","James Durbin","""Saturday Night's Alright for Fighting""","Safe"
"8","Thia Megia","""Daniel""","Eliminated"
"9","Casey Abrams","""Your Song""","Safe"
"10","Jacob Lusk","""Sorry Seems to Be the Hardest Word""","Safe"
"11","Haley Reinhart","""Bennie and the Jets""","Safe"
