"order","contestant","song","song_theme","result"
"1","James Durbin","""Closer to the Edge""","Now.Song","Safe"
"10","Haley Reinhart","""The House of the Rising Sun""","Then.Song","Safe"
"2","Jacob Lusk","""No Air""","Now.Song","Eliminated"
"3","Lauren Alaina","""Flat on the Floor""","Now.Song","Bottom two"
"4","Scotty McCreery","""Gone""","Now.Song","Safe"
"5","Haley Reinhart","""You and I""","Now.Song","Safe"
"6","James Durbin","""Without You""","Then.Song","Safe"
"7","Jacob Lusk","""Love Hurts""","Then.Song","Eliminated"
"8","Lauren Alaina","""Unchained Melody""","Then.Song","Bottom two"
"9","Scotty McCreery","""Always on My Mind""","Then.Song","Safe"
