"order","contestant","song","result"
"1","Clint Jun Gamboa","""Superstition""","Eliminated"
"2","Jovany Barreto","""I'll Be""","Wild Card"
"3","Jordan Dorsey","""OMG""","Eliminated"
"4","Tim Halperin","""Streetcorner Symphony""","Eliminated"
"5","Brett Loewenstern","""Light My Fire""","Eliminated"
"6","James Durbin","""You've Got Another Thing Comin'""","Advanced"
"7","Robbie Rosen","""Angel""","Wild Card"
"8","Scotty McCreery","""Letters from Home""","Advanced"
"9","Stefano Langone","""Just the Way You Are""","Wild Card"
"10","Paul McDonald","""Maggie May""","Advanced"
"11","Jacob Lusk","""A House Is Not a Home""","Advanced"
"12","Casey Abrams","""I Put a Spell on You""","Advanced"
NA,NA,NA,NA
