"order","contestant","song","song_theme","result"
"1","Scotty McCreery","""Amazed""","Contestant.s.choice","Safe"
"2","Lauren Alaina","""Wild One""","Contestant.s.choice","Safe"
"3","Haley Reinhart","""What Is and What Should Never Be""","Contestant.s.choice","Third place"
"4","Scotty McCreery","""Are You Gonna Kiss Me or Not""","Mentor.s.choice","Safe"
"5","Lauren Alaina","""If I Die Young""","Mentor.s.choice","Safe"
"6","Haley Reinhart","""Rhiannon""","Mentor.s.choice","Third place"
"7","Scotty McCreery","""She Believes in Me""","Judges.s.choice","Safe"
"8","Lauren Alaina","""I Hope You Dance""","Judges.s.choice","Safe"
"9","Haley Reinhart","""You Oughta Know""","Judges.s.choice","Third place"
