"order","contestant","song","song_theme","result"
"1","Anthony Fedorov","""Poison Ivy"" (The Coasters)","First.song..original.artist.","Bottom Two"
"10","Carrie Underwood","""Bless the Broken Road"" (Nitty Gritty Dirt Band)","Second.song..original.artist.","Safe"
"2","Scott Savol","""On Broadway"" (The Crystals)","First.song..original.artist.","Eliminated"
"3","Vonzell Solomon","""Treat Me Nice"" (Elvis Presley)","First.song..original.artist.","Safe"
"4","Bo Bice","""Stand By Me"" (Ben E. King)","First.song..original.artist.","Safe"
"5","Carrie Underwood","""Trouble"" (Elvis Presley)","First.song..original.artist.","Safe"
"6","Anthony Fedorov","""Incomplete"" (Backstreet Boys)","Second.song..original.artist.","Bottom Two"
"7","Scott Savol","""Everytime You Go Away"" (Brian McKnight)","Second.song..original.artist.","Eliminated"
"8","Vonzell Solomon","""When You Tell Me That You Love Me"" (Diana Ross)","Second.song..original.artist.","Safe"
"9","Bo Bice","""Heaven"" (Los Lonely Boys)","Second.song..original.artist.","Safe"
