"order","contestant","song","result"
"1","Constantine Maroulis","""Nights on Broadway"" (Bee Gees)","Safe"
"2","Carrie Underwood","""MacArthur Park"" (Donna Summer)","Safe"
"3","Scott Savol","""Everlasting Love"" (Robert Knight)","Bottom 3[a]"
"4","Anthony Fedorov","""Don't Take Away the Music"" (Tavares)","Bottom 3[a]"
"5","Vonzell Solomon","""I'm Every Woman"" (Chaka Khan)","Safe"
"6","Anwar Robinson","""September"" (Earth, Wind & Fire)","Eliminated"
"7","Bo Bice","""Vehicle"" (The Ides of March)","Safe"
