"order","contestant","song","result"
"1","Scott Savol","""I Can't Help Myself"" (The Four Tops)","Safe"
"2","Bo Bice","""I'll Be"" (Edwin McCain)","Safe"
"3","Anthony Fedorov","""I've Got You"" (Marc Anthony)","Safe"
"4","Nikko Smith","""Georgia on My Mind"" (Hoagy Carmichael)","Eliminated[a]"
"5","Travis Tucker","""Every Little Step"" (Bobby Brown)","Eliminated"
"6","Mario Vazquez","""How Can You Mend a Broken Heart"" (The Bee Gees)","Safe[a]"
"7","Constantine Maroulis","""Every Little Thing She Does Is Magic"" (The Police)","Safe"
"8","Anwar Robinson","""What a Wonderful World"" (Louis Armstrong)","Safe"
