"order","contestant","song","result"
"1","Chris Daughtry","""What a Wonderful World""(Louis Armstrong)","Bottom two"
"2","Paris Bennett","""These Foolish Things""(Billie Holiday)","Bottom three"
"3","Taylor Hicks","""You Send Me""(Sam Cooke)","Safe"
"4","Elliott Yamin","""It Had To Be You""(Sam Lanin and his Orchestra)","Safe"
"5","Kellie Pickler","""Bewitched, Bothered, and Bewildered""(Vivienne Segal)","Safe"
"6","Ace Young","""That's All""(Nat King Cole)","Eliminated"
"7","Katharine McPhee","""Someone to Watch Over Me""(Gertrude Lawrence)","Safe"
