"order","contestant","song","song_theme","result"
"1","Taylor Hicks","""Jailhouse Rock""","Song.1","Safe"
"2","Chris Daughtry","""Suspicious Minds""","Song.1","Eliminated"
"3","Elliott Yamin","""If I Can Dream""","Song.1","Safe"
"4","Katharine McPhee","""Hound Dog"" / ""All Shook Up""","Song.1","Bottom two"
"5","Taylor Hicks","""In the Ghetto""","Song.2","Safe"
"6","Chris Daughtry","""A Little Less Conversation""","Song.2","Eliminated"
"7","Elliott Yamin","""Trouble""","Song.2","Safe"
"8","Katharine McPhee","""Can't Help Falling in Love""","Song.2","Bottom two"
