"order","contestant","song","result"
"1","Bucky Covington","""Fat Bottomed Girls""","Eliminated"
"2","Ace Young","""We Will Rock You""","Bottom three"
"3","Kellie Pickler","""Bohemian Rhapsody""","Safe"
"4","Chris Daughtry","""Innuendo""","Safe"
"5","Katharine McPhee","""Who Wants to Live Forever""","Safe"
"6","Elliott Yamin","""Somebody To Love""","Bottom three"
"7","Taylor Hicks","""Crazy Little Thing Called Love""","Safe"
"8","Paris Bennett","""The Show Must Go On""","Safe"
