"order","contestant","song","result"
"1","Katharine McPhee","""All in Love Is Fair""(Stevie Wonder)","Safe"
"2","Kinnik Sky","""Here for the Party""(Gretchen Wilson)","Bottom three"
"3","Lisa Tucker","""Who's Lovin' You""(The Miracles)","Safe"
"4","Melissa McGhee","""Why Haven't I Heard from You""(Reba McEntire)","Safe"
"5","Heather Cox","""Hero""(Mariah Carey)","Eliminated"
"6","Brenna Gethers","""Last Dance""(Donna Summer)","Eliminated"
"7","Paris Bennett","""Wind Beneath My Wings""(Roger Whittaker)","Safe"
"8","Ayla Brown","""I Want You to Need Me""(Celine Dion)","Safe"
"9","Kellie Pickler","""Something to Talk About""(Bonnie Raitt)","Safe"
"10","Mandisa","""Cry""(Angie Aparo)","Safe"
NA,NA,NA,NA
NA,NA,NA,NA
