"order","contestant","song","song_theme","result"
"1","Katharine McPhee","""Black Horse and the Cherry Tree""","Contestant.s.reprise.1","Runner-Up"
"2","Taylor Hicks","""Living for the City""","Contestant.s.reprise.1","Winner"
"3","Katharine McPhee","""Over The Rainbow""","Contestant.s.reprise.2","Runner-Up"
"4","Taylor Hicks","""Levon""","Contestant.s.reprise.2","Winner"
"5","Katharine McPhee","""My Destiny""","Winner.s.single","Runner-Up"
"6","Taylor Hicks","""Do I Make You Proud""","Winner.s.single","Winner"
