"order","contestant","song","result"
"1","Ace Young","""Do I Do""","Bottom three"
"2","Kellie Pickler","""Blame It on the Sun""","Safe"
"3","Elliott Yamin","""Knocks Me Off My Feet""","Safe"
"4","Mandisa","""Don't You Worry 'bout a Thing""","Safe"
"5","Bucky Covington","""Superstition""","Safe"
"6","Melissa McGhee","""Lately""","Eliminated"
"7","Lisa Tucker","""Signed, Sealed, Delivered I'm Yours""","Bottom two"
"8","Kevin Covais","""Part-Time Lover""","Safe"
"9","Katharine McPhee","""Until You Come Back to Me""","Safe"
"10","Taylor Hicks","""Living for the City""","Safe"
"11","Paris Bennett","""All I Do""","Safe"
"12","Chris Daughtry","""Higher Ground""","Safe"
