"date_of_airing","order","contestant","song","duet_partner","result"
"Sunday, April 8","1","Dominique","""Ain't Nobody""","—","—"
"Sunday, April 8","2","Layla Spring","""A Broken Wing""","—","—"
"Sunday, April 8","3","Catie Turner","""Call Me""","—","—"
"Sunday, April 8","4","Dennis Lorenzo","""Rude""","—","—"
"Sunday, April 8","5","Michelle Sussett","""If I Were a Boy""","—","—"
"Sunday, April 8","6","Michael J. Woodard","""Golden Slumbers""","—","—"
"Sunday, April 8","7","Trevor McBane","""Way Down We Go""","—","—"
"Sunday, April 8","8","Jonny Brenns","""Georgia""","—","—"
"Sunday, April 8","9","Kay Kay","""Love on the Brain""","—","—"
"Sunday, April 8","10","Brandon Diaz","""Hello""","—","—"
"Sunday, April 8","11","Gabby Barrett","""My Church""","—","—"
"Sunday, April 8","12","Cade Foehner","""All Along the Watchtower""","—","—"
"",NA,"","","",""
"Monday, April 9","1","Catie Turner","""Good to Be Alive (Hallelujah)""","Andy Grammer","Advanced"
"Monday, April 9","2","Cade Foehner","""Never Tear Us Apart""","Bishop Briggs","Advanced"
"Monday, April 9","3","Layla Spring","""Stuck Like Glue""","Sugarland","Eliminated"
"Monday, April 9","4","Dominique","""Wake Me Up""","Aloe Blacc","Eliminated"
"Monday, April 9","5","Brandon Diaz","""Despacito""","Luis Fonsi","Eliminated"
"Monday, April 9","6","Kay Kay","""Drive By""","Patrick Monahan","Eliminated"
"Monday, April 9","7","Trevor McBane","""River""","Bishop Briggs","Eliminated"
"Monday, April 9","8","Michelle Sussett","""I Can't Make You Love Me""","Luis Fonsi","Advanced"
"Monday, April 9","9","Jonny Brenns","""Back Home""","Andy Grammer","Advanced"
"Monday, April 9","10","Dennis Lorenzo","""Unaware""","Allen Stone","Advanced"
"Monday, April 9","11","Michael J. Woodard","""Angel in Blue Jeans""","Patrick Monahan","Advanced"
"Monday, April 9","12","Gabby Barrett","""Stay""","Sugarland","Advanced"
