"order","contestant","song","song_theme","result"
"1","Caleb Lee Hutchinson","""Johnny Cash Heart""","Winner.s.Song","Runner-up"
"2","Gabby Barrett","""Rivers Deep""","Winner.s.Song","3rd Place"
"3","Maddie Poppe","""Going Going Gone"" (original song)","Winner.s.Song","Winner"
"4","Caleb Lee Hutchinson","""Don't Close Your Eyes""","Reprise.Song","Runner-up"
"5","Gabby Barrett","""Little Red Wagon""","Reprise.Song","3rd Place"
"6","Maddie Poppe","""Don't Ever Let Your Children Grow Up"" (original song)","Reprise.Song","Winner"
