"order","contestant","song","song_theme","result"
"1","Michael J. Woodard","""Flat on the Floor""","Carrie.Underwood.Song","Eliminated"
"10","Maddie Poppe","""God Only Knows""","Mother.s.Day.Song","Safe"
"2","Gabby Barrett","""Last Name""","Carrie.Underwood.Song","Safe"
"3","Cade Foehner","""Undo It""","Carrie.Underwood.Song","Eliminated"
"4","Caleb Lee Hutchinson","""So Small""","Carrie.Underwood.Song","Safe"
"5","Maddie Poppe","""I Told You So""","Carrie.Underwood.Song","Safe"
"6","Gabby Barrett","""I Have Nothing""","Mother.s.Day.Song","Safe"
"7","Cade Foehner","""Simple Man""","Mother.s.Day.Song","Eliminated"
"8","Michael J. Woodard","""Still I Rise""","Mother.s.Day.Song","Eliminated"
"9","Caleb Lee Hutchinson","""Stars in Alabama""","Mother.s.Day.Song","Safe"
