"order","contestant","song","song_theme","result"
"1","Arthur Gunn","""Kiss the Girl""","Disney.Song.27.","Safe"
"10","Jonny West","""Amazing Grace""","Mother.s.Day.Song.27.","Safe"
"11","Louis Knight","""You've Got a Friend""","Mother.s.Day.Song.27.","Eliminated"
"12","Julia Gargano","""Sweetest Devotion""","Mother.s.Day.Song.27.","Eliminated"
"13","Francisco Martin","""River""","Mother.s.Day.Song.27.","Safe"
"14","Dillon James","""Hang On, Hang On""","Mother.s.Day.Song.27.","Safe"
"2","Just Sam","""A Dream Is a Wish Your Heart Makes""","Disney.Song.27.","Safe"
"3","Jonny West","""Almost There""","Disney.Song.27.","Safe"
"4","Louis Knight","""Can You Feel the Love Tonight""","Disney.Song.27.","Eliminated"
"5","Julia Gargano","""Beauty and the Beast""","Disney.Song.27.","Eliminated"
"6","Francisco Martin","""You'll Be in My Heart""","Disney.Song.27.","Safe"
"7","Dillon James","""Our Town""","Disney.Song.27.","Safe"
"8","Arthur Gunn","""Hey, Ma""","Mother.s.Day.Song.27.","Safe"
"9","Just Sam","""I Turn to You""","Mother.s.Day.Song.27.","Safe"
