"order","contestant","song","song_theme","result"
"1","Dillon James","""Change the World""","Celebration.Song.29.","Eliminated"
"10","Jonny West","""Makin' Love"" (original song)","Final.Song.29.","Eliminated"
"2","Francisco Martin","""Adore You""","Celebration.Song.29.","Eliminated"
"3","Just Sam","""Stronger (What Doesn't Kill You)""","Celebration.Song.29.","Winner"
"4","Arthur Gunn","""I Don't Want to Be""","Celebration.Song.29.","Runner-up"
"5","Jonny West","""Can't Keep a Good Man Down""","Celebration.Song.29.","Eliminated"
"6","Dillon James","""The Times They Are a-Changin'""","Final.Song.29.","Eliminated"
"7","Francisco Martin","""Alaska""","Final.Song.29.","Eliminated"
"8","Just Sam","""Rise Up""","Final.Song.29.","Winner"
"9","Arthur Gunn","""Have You Ever Seen the Rain?""","Final.Song.29.","Runner-up"
