"contestant","order","song","result"
"Kimmy Gabriela","1","""Leave Me Lonely""","Eliminated"
"Jovin Webb","2","""With a Little Help from My Friends""","Safe"
"Franklin Boone","3","""Everybody Wants to Rule the World""","Eliminated"
"Olivia Ximines","4","""Bad Guy""","Eliminated"
"Louis Knight","5","""If the World Was Ending""","Safe"
"Makayla Phillips","6","""Greedy""","Wild Card"
"Aliana Jester","7","""Run to You""","Eliminated"
"Faith Becnel","8","""River""","Eliminated"
"Nick Merico","9","""Hey There Delilah""","Eliminated"
"Lauren Spencer-Smith","10","""Mamma Knows Best""","Eliminated"
"Cyniah Elise","11","""Warrior""","Eliminated"
"Francisco Martin","12","""Teenage Dream""","Safe"
"Sophia James","13","""Burning""","Safe"
"DeWayne Crocker Jr.","14","""I Got You (I Feel Good)""","Eliminated"
"Dillon James","15","""Let It Be Me""","Safe"
"Arthur Gunn","16","""Lovin' Machine""","Safe"
"Julia Gargano","17","""Human""","Safe"
"Grace Leer","18","""Cry""","Safe"
"Just Sam","19","""I Believe""","Safe"
"Jonny West","20","""What a Wonderful World""","Safe"
