"contestant","order","song","result"
"Louis Knight","1","""In My Place""","Safe"
"Julia Gargano","2","""New York State of Mind""","Safe"
"Jovin Webb","3","""Voodoo""","Eliminated"
"Grace Leer","4","""Over the Rainbow""","Eliminated"
"Jonny West","5","""Faithfully""","Safe"
"Sophia James","6","""In My Room""","Eliminated"
"Arthur Gunn","7","""Take Me Home, Country Roads""","Safe"
"Just Sam","8","""Grandma's Hands""","Safe"
"Dillon James","9","""Yesterday""","Safe"
"Francisco Martin","10","""Falling Like the Stars""","Safe"
"Makayla Phillips","11","""The House That Built Me""","Eliminated"
